name,percent
Grant,2.87e-4
Phil,2.87e-4
Bert,2.86e-4
Irvin,2.86e-4
Owen,2.86e-4
Junior,2.85e-4
Boyd,2.78e-4
Sammie,2.77e-4
Darryl,2.76e-4
Noel,2.74e-4
Wade,2.74e-4
Wilfred,2.72e-4
Mickey,2.71e-4
Percy,2.7e-4
Roberto,2.68e-4
Aubrey,2.56e-4
Raul,2.55e-4
Royce,2.55e-4
Angelo,2.54e-4
Daryl,2.48e-4
Grover,2.48e-4
Ronny,2.47e-4
Pedro,2.45e-4
Francisco,2.44e-4
Harley,2.44e-4
Spencer,2.42e-4
Harlan,2.41e-4
Brent,2.4e-4
Andy,2.37e-4
Denis,2.36e-4
Bobbie,2.32e-4
Tyrone,2.32e-4
Freddy,2.31e-4
Darwin,2.29e-4
Marlin,2.28e-4
Emmett,2.28e-4
Mario,2.28e-4
Bradley,2.27e-4
Louie,2.27e-4
Irving,2.24e-4
Edmond,2.21e-4
Kermit,2.21e-4
Colin,2.2e-4
Ed,2.2e-4
Luis,2.19e-4
Bryan,2.19e-4
Loyd,2.17e-4
Travis,2.16e-4
Jeffery,2.15e-4
Burton,2.09e-4
Gale,2.08e-4
Moses,2.07e-4
Geoffrey,2.06e-4
Denny,2.06e-4
Thurman,2.05e-4
Kurt,2.04e-4
Lance,2.01e-4
Cleveland,2.01e-4
Lanny,2.01e-4
Murray,2e-4
Austin,1.98e-4
Elwood,1.97e-4
Sanford,1.96e-4
Lionel,1.95e-4
Marcus,1.94e-4
Ned,1.93e-4
Amos,1.93e-4
Dominick,1.93e-4
Kelly,1.9e-4
Gerry,1.88e-4
Guadalupe,1.88e-4
Norbert,1.86e-4
Dominic,1.84e-4
Alfonso,1.84e-4
Cornelius,1.83e-4
Merlin,1.82e-4
Terence,1.82e-4
Alonzo,1.79e-4
Emil,1.79e-4
Cary,1.79e-4
Lorenzo,1.78e-4
Elton,1.76e-4
Van,1.76e-4
Mary,1.75e-4
Jasper,1.73e-4
Adam,1.72e-4
Simon,1.72e-4
August,1.71e-4
Frederic,1.68e-4
Doug,1.67e-4
Armando,1.66e-4
Merrill,1.66e-4
Roscoe,1.66e-4
Lamar,1.66e-4
Hector,1.65e-4
Mac,1.65e-4
Norris,1.65e-4
Rene,1.64e-4
Robin,1.63e-4
Maynard,1.62e-4
Rick,1.62e-4
Elliott,1.62e-4
Millard,1.62e-4
Harrison,1.6e-4
Carol,1.6e-4
Arturo,1.59e-4
Linwood,1.59e-4
Carmen,1.57e-4
Alfredo,1.56e-4
Marc,1.55e-4
Wiley,1.55e-4
Ernie,1.54e-4
Weldon,1.53e-4
Adrian,1.53e-4
Roderick,1.53e-4
Elijah,1.52e-4
Barney,1.51e-4
Elvin,1.51e-4
Odell,1.51e-4
Johnie,1.51e-4
Fredric,1.5e-4
Sterling,1.5e-4
Delmar,1.47e-4
Miguel,1.46e-4
Truman,1.46e-4
Erwin,1.46e-4
Gail,1.46e-4
Kerry,1.46e-4
Laverne,1.46e-4
Kirk,1.44e-4
Ricardo,1.44e-4
Charley,1.44e-4
Hal,1.44e-4
Jerold,1.43e-4
Hollis,1.42e-4
Will,1.42e-4
Jackson,1.42e-4
Monroe,1.42e-4
Nolan,1.42e-4
Galen,1.4e-4
Salvador,1.4e-4
Vaughn,1.4e-4
Al,1.39e-4
Reuben,1.39e-4
Coy,1.38e-4
Errol,1.38e-4
Ollie,1.38e-4
Shelby,1.38e-4
Gabriel,1.37e-4
Abraham,1.36e-4
Buford,1.36e-4
Dwayne,1.35e-4
Otto,1.33e-4
Emanuel,1.32e-4
Jess,1.31e-4
Dannie,1.3e-4
Monty,1.3e-4
Dudley,1.29e-4
Emory,1.29e-4
Irwin,1.29e-4
Shirley,1.29e-4
Wilmer,1.29e-4
Chuck,1.28e-4
Dana,1.28e-4
Ricky,1.25e-4
Levi,1.22e-4
Melvyn,1.22e-4
Ward,1.22e-4
Bradford,1.2e-4
Mcarthur,1.2e-4
Armand,1.19e-4
Monte,1.19e-4
Riley,1.18e-4
Russel,1.18e-4
Clement,1.17e-4
Rodolfo,1.17e-4
Booker,1.16e-4
Jerrold,1.16e-4
Vance,1.14e-4
Clair,1.13e-4
Blaine,1.12e-4
Dewayne,1.12e-4
Fernando,1.12e-4
Jean,1.12e-4
Gus,1.11e-4
Todd,1.11e-4
Dexter,1.1e-4
Harris,1.1e-4
Jake,1.1e-4
Enrique,1.09e-4
Mervin,1.09e-4
Freeman,1.09e-4
Earle,1.08e-4
Tomas,1.08e-4
Dickie,1.07e-4
Reynaldo,1.07e-4
Connie,1.07e-4
Domingo,1.06e-4
Miles,1.06e-4
Noah,1.06e-4
Solomon,1.06e-4
Ulysses,1.06e-4
