name,percent
Bernadine,3.95e-4
Jeannine,3.94e-4
Cecelia,3.92e-4
Ila,3.86e-4
Dona,3.84e-4
Myrna,3.81e-4
Goldie,3.79e-4
Lavonne,3.79e-4
Rhoda,3.79e-4
Effie,3.77e-4
Polly,3.77e-4
Alta,3.75e-4
Lizzie,3.75e-4
Elva,3.73e-4
Elvira,3.7e-4
Francis,3.61e-4
Greta,3.61e-4
Rosetta,3.6e-4
Therese,3.6e-4
Olivia,3.59e-4
Elnora,3.57e-4
Celia,3.51e-4
Lorna,3.49e-4
Carmela,3.48e-4
Elinor,3.41e-4
Sophie,3.41e-4
Jerry,3.38e-4
Lupe,3.38e-4
Lenore,3.37e-4
Robbie,3.35e-4
Lucile,3.33e-4
Dolly,3.29e-4
Isabelle,3.29e-4
Ruthie,3.28e-4
Annabelle,3.22e-4
Gail,3.2e-4
Arline,3.16e-4
Betsy,3.16e-4
Virgie,3.13e-4
Rena,3.12e-4
Amy,3.1e-4
Eugenia,3.08e-4
Faith,3.07e-4
Beverley,3.05e-4
Joanna,3.04e-4
Claudia,2.98e-4
Tommie,2.98e-4
Pearlie,2.97e-4
Winnie,2.97e-4
Corinne,2.96e-4
Robert,2.95e-4
Eleanore,2.94e-4
Selma,2.94e-4
James,2.9e-4
Dawn,2.89e-4
Guadalupe,2.87e-4
Neva,2.87e-4
Margery,2.86e-4
Renee,2.85e-4
Bernadette,2.84e-4
Molly,2.84e-4
Nannie,2.78e-4
Wilda,2.78e-4
Janis,2.77e-4
Karen,2.75e-4
Leila,2.74e-4
Zelma,2.74e-4
Eddie,2.72e-4
Harriett,2.71e-4
Nola,2.71e-4
Elma,2.7e-4
Earnestine,2.69e-4
John,2.69e-4
Sondra,2.69e-4
Delia,2.68e-4
Doreen,2.67e-4
Leah,2.67e-4
Melva,2.67e-4
Rosella,2.67e-4
Millie,2.65e-4
Dollie,2.64e-4
Aileen,2.63e-4
Josie,2.62e-4
Glenda,2.61e-4
Lora,2.61e-4
Flossie,2.6e-4
Earlene,2.58e-4
Mollie,2.57e-4
Loraine,2.55e-4
Reva,2.53e-4
Odessa,2.52e-4
Beth,2.5e-4
Valerie,2.49e-4
Carmella,2.48e-4
Avis,2.44e-4
Frieda,2.44e-4
Concetta,2.42e-4
Corrine,2.42e-4
Sybil,2.42e-4
Cornelia,2.4e-4
Louella,2.4e-4
Julie,2.4e-4
Yolanda,2.38e-4
Nona,2.37e-4
Edwina,2.34e-4
Aurora,2.31e-4
Janette,2.31e-4
Margarita,2.3e-4
Christina,2.29e-4
Alicia,2.27e-4
Matilda,2.27e-4
Letha,2.26e-4
Bobby,2.25e-4
Queen,2.25e-4
Adrienne,2.24e-4
Corine,2.24e-4
Consuelo,2.22e-4
Lily,2.22e-4
Joe,2.22e-4
Johanna,2.21e-4
Lynn,2.21e-4
Marlys,2.19e-4
Eliza,2.15e-4
Gwen,2.15e-4
Bennie,2.14e-4
Cecile,2.12e-4
Ophelia,2.12e-4
William,2.12e-4
Jannie,2.12e-4
Gretchen,2.11e-4
Angie,2.09e-4
Georgie,2.09e-4
Hannah,2.09e-4
